PRODUCTO     ;DESCRIPCION                                       ;REFERENCIA                                                  ;CANTIDAD         ; PRECIO -001      ;COSTO             
0010001010303;MEZCLADOR CON CABLE COAXIAL Y PLANO               ;010303                                                      ;14,00 ; $ 1.900 ;17.640,00 
0010001010304;MEZCLADOR DE COAXIAL A COAXIAL                    ;010304                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010305;MEZCLADOR TORNILLO/COAXIAL                        ;010305                                                      ;2,00 ; $ 1.800 ;1.960,00 
0010001010306;MEZCLADOR  HP-10/  HI-LO                          ;010306                                                      ;9,00 ; $ 2.600 ;16.516,79 
0010001010307;MEZCLADOR UHF-VHF CON CABLE                       ;010307                                                      ;0,00 ; $ 3.000 ;0,00 
0010001010308;SWITCH A/B AMARILLO - NEGRO 5-02 TV-302           ;010308                                                      ;1,00 ; $ 7.100 ;3.216,00 
0010001010309;SWITCH AB C/SWICH Y CABLE                         ;010309                                                      ;0,00 ; $ 1.200 ;0,00 
0010001010310;SWITCH TV GADIC V 32970 NEGRO GAME                ;010310                                                      ;1,00 ; $ 4.100 ;0,00 
0010001010311;SWITCH TV GAME DOBLE                              ;010311                                                      ;0,00 ; $ 1.800 ;0,00 
0010001010312;SWITCH TV GAME SENCILLO                           ;010312                                                      ;0,00 ; $ 1.500 ;0,00 
0010001010313;SWITCH TV GAME FINO                               ;010313                                                      ;0,00 ; $ 2.300 ;0,00 
0010001010315;ADAPTADOR PARA JUEGOS PC X PS2 SJ-106             ;010315                                                      ;0,00 ; $ 12.300 ;0,00 
0010001010318;EQUALIZADOR 12DB TRUE SPEC                        ;010318                                                      ;0,00 ; $ 3.000 ;0,00 
0010001010340;DERIVADOR DE SEÑAL SATELITAL  UN SEGUNDO TV. RMC-0;010340                                                      ;0,00 ; $ 10.800 ;0,00 
0010001010400;SPLITTER 2 VIAS HOLLAND - (M)                     ;010400                                                      ;3,00 ; $ 3.500 ;5.910,66 
0010001010401;SPLITTER 2 VIAS 5-900 MHZ                         ;010401                                                      ;1,00 ; $ 800 ;1.308,85 
0010001010402;SPLITTER 2 VIAS AMARILLO                          ;010402                                                      ;77,00 ; $ 1.000 ;51.538,84 
0010001010403;SPLITTER FINO 2 VIAS ES202                        ;010403                                                      ;63,00 ; $ 3.000 ;166.588,00 
0010001010404;SPLITTER 2 VIAS TRUE-SPEC                         ;010404                                                      ;0,00 ; $ 5.500 ;0,00 
0010001010405;SPLITTER 2 VIAS                                   ;010405                                                      ;0,00 ; $ 3.000 ;0,00 
0010001010406;SPLITTER 2 VIAS SUPERTONE                         ;010406                                                      ;153,00 ; $ 1.100 ;107.726,16 
0010001010407;SPLITTER 2 VIAS 5-1000 MHZ SP-1021                ;010407                                                      ;0,00 ; $ 4.500 ;0,00 
